fast_period,slow_period,sharpe,total_return,annual_return,annual_vol
7,15,1.0669,118.03,22.49,21.08
15,50,0.9885,100.05,20.11,20.34
7,20,0.9878,106.36,21.12,21.38
3,25,0.9347,97.4,19.96,21.36
9,20,0.9346,99.32,20.29,21.71
5,25,0.9321,97.42,19.98,21.44
9,50,0.9151,88.08,18.47,20.18
13,50,0.9087,87.68,18.44,20.29
11,55,0.898,84.04,17.85,19.87
5,50,0.8839,81.79,17.51,19.81
5,20,0.8625,86.26,18.46,21.4
13,60,0.8565,79.18,17.19,20.07
15,30,0.8549,86.56,18.58,21.73
11,50,0.8513,78.81,17.15,20.15
9,55,0.8325,76.35,16.79,20.17
7,55,0.8223,74.52,16.5,20.07
9,25,0.8194,80.26,17.64,21.52
13,20,0.8173,80.26,17.65,21.6
11,60,0.8131,72.6,16.18,19.9
13,30,0.8083,78.99,17.47,21.62
7,50,0.8077,71.66,16.03,19.84
15,25,0.8058,78.83,17.46,21.67
15,20,0.8029,79.06,17.53,21.84
9,15,0.8011,76.93,17.12,21.37
3,20,0.8002,76.0,16.94,21.16
3,55,0.7981,71.15,15.98,20.03
13,55,0.7939,70.74,15.93,20.07
15,55,0.7901,70.35,15.88,20.1
11,15,0.7864,74.12,16.67,21.2
7,60,0.7847,69.46,15.73,20.05
3,35,0.7841,72.44,16.34,20.83
11,30,0.7733,72.76,16.49,21.32
3,50,0.7682,66.67,15.26,19.87
15,60,0.7615,66.56,15.29,20.08
7,25,0.7551,70.77,16.22,21.48
15,45,0.7426,66.87,15.5,20.87
15,35,0.7335,66.58,15.5,21.14
9,60,0.7071,58.89,14.01,19.81
5,45,0.6887,57.43,13.82,20.06
13,35,0.6811,59.93,14.47,21.24
13,25,0.6797,60.82,14.69,21.61
3,45,0.6786,55.27,13.39,19.73
3,60,0.6775,56.05,13.59,20.06
3,30,0.6744,58.49,14.18,21.03
11,25,0.6626,58.48,14.3,21.58
5,15,0.6623,56.19,13.74,20.75
11,35,0.6568,56.08,13.77,20.97
5,60,0.6562,53.91,13.26,20.2
9,30,0.6518,56.95,14.04,21.53
7,30,0.6501,56.56,13.96,21.47
11,20,0.6455,56.81,14.07,21.8
5,30,0.6402,55.33,13.76,21.49
3,40,0.6379,51.13,12.73,19.96
5,40,0.6367,51.43,12.82,20.13
9,45,0.6327,51.45,12.87,20.33
9,35,0.632,52.97,13.25,20.96
7,40,0.6179,49.6,12.54,20.29
5,55,0.6101,48.59,12.35,20.25
13,45,0.5965,48.26,12.41,20.81
13,15,0.5808,47.95,12.5,21.52
7,35,0.573,45.69,11.96,20.87
5,35,0.5616,44.51,11.76,20.95
3,15,0.5245,40.08,10.93,20.84
9,40,0.5217,38.58,10.52,20.17
7,45,0.515,38.33,10.53,20.45
11,45,0.5147,38.28,10.52,20.45
13,40,0.4575,32.4,9.42,20.6
15,40,0.3914,25.79,8.13,20.76
11,40,0.2926,16.13,5.99,20.46
